IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016aa4IAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",32,Uniform,Clothing,Campus,Specialist,a4bA00000016asCIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",36,Uniform,Clothing,Campus,Specialist,a4bA00000016asDIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016arxIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",36,Uniform,Clothing,Campus,Specialist,a4bA00000016asEIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",38,Uniform,Clothing,Campus,Specialist,a4bA00000016asqIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",42,Uniform,Clothing,Campus,Specialist,a4bA00000016atPIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",50,Uniform,Clothing,Campus,Specialist,a4bA00000016auDIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Tactical 5 in 1 Jacket,5.11 Tactical,JA432,"",Black,SES13B,Left Chest,"","","","","","",XS,Uniform,Clothing,Campus,General,a4bA00000016aucIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016arsIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",38,Uniform,Clothing,Campus,Specialist,a4bA00000016atAIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016artIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016atFIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",38,Uniform,Clothing,Campus,Specialist,a4bA00000016asvIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",38,Uniform,Clothing,Campus,Specialist,a4bA00000016aswIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016asxIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",42,Uniform,Clothing,Campus,Specialist,a4bA00000016atUIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",44,Uniform,Clothing,Campus,Specialist,a4bA00000016atVIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",8.5,Uniform,Clothing,Campus,Specialist,a4bA00000016afDIAQ
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",44,Uniform,Clothing,Campus,Specialist,a4bA00000016ac4IAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,Waterproof Insulated Duty Glove,LawPro Uni,GL010,"",Black,"","","","","","","","",L,Uniform,Clothing,Campus,General,a4bA00000016apSIAQ
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016ayyIAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016ayzIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",15,Uniform,Clothing,Campus,General,a4bA00000016ahJIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",10,Uniform,Clothing,Campus,General,a4bA00000016agaIAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016az0IAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",36,Uniform,Clothing,Campus,Specialist,a4bA00000016az1IAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",44,Uniform,Clothing,Campus,Specialist,a4bA00000016az2IAA
